Entrevistados,Setor,Apoio à festas à beira mar,Continuidade da APA Costa dos Corais,Cultura é preservada,Efetividade de ação das áreas de proteção,Estímulo à cultura local,Existência das áreas de proteção ambiental,Existência de ONGs ambientalistas,Limitação de visitante em piscinas naturais,Papel do turismo,Turismo desejado,Utilização dos recursos da área,Acesso igualitário à recursos,Confiança nas práticas do Estado,Relação ser humano-natureza,Tradição cultural,Visão sobre desenvolvimento,Visão sobre o papel do Estado,Formação de coalizões para defesa de interesses,Grupos com maior interação,Preparação para as reuniões,Repasse das temáticas,Interação entre conselheiros,Percepção de modificação de opinião
Entrevistado 1,Atividade pesqueira,2,1,2,3,4,2,1,3,4,3,3,4,3,3,4,2,3,4,2,4,4,3,2
Entrevistado 2,Organização ambientalista e de pesquisa,,1,2,3,2,2,4,2,4,3,3,4,3,3,3,3,2,4,2,2,4,4,1
Entrevistado 3,Pesquisa científica,2,1,2,3,2,2,4,2,4,2,2,4,3,3,3,2,2,4,2,1,1,4,1
Entrevistado 4,Organização ambientalista e de pesquisa,3,1,2,3,4,2,4,2,4,2,3,4,3,3,4,4,2,1,2,1,1,2,2
Entrevistado 5,Atividade turística,2,1,2,2,3,2,4,2,1,1,1,1,2,3,1,1,3,4,4,4,4,4,1
Entrevistado 6,Organização ambientalista e de pesquisa,3,1,2,3,2,2,4,2,4,2,3,3,3,3,4,2,2,2,2,4,4,2,1
Entrevistado 7,Organização de educação e cultura e associação comunitária,2,1,2,3,4,2,4,2,4,3,3,4,3,3,2,4,1,2,2,4,4,2,2
Entrevistado 8,Gestão pública,2,1,2,3,2,2,4,2,3,3,3,4,3,3,3,3,2,1,2,4,4,2,2
Entrevistado 9,Organização de educação e cultura e associação comunitária,2,1,2,2,2,2,2,2,4,2,3,4,3,3,3,3,1,1,1,2,2,1,2
Entrevistado 10,Gestão pública,2,1,3,2,1,2,2,2,1,2,1,3,2,2,3,1,1,2,2,2,2,2,1
Entrevistado 11,Atividade turística,2,1,3,3,4,2,4,2,4,2,3,4,4,3,3,4,2,3,2,4,4,3,2
Entrevistado 12,Gestão pública,3,1,2,3,3,2,4,2,4,2,3,4,4,3,3,3,1,2,2,2,2,3,2
Entrevistado 13,Pesquisa científica,2,1,2,3,4,2,4,2,4,3,3,3,3,3,3,3,2,4,3,,,4,1
Entrevistado 14,Pesquisa científica,3,1,2,3,4,2,4,1,4,2,3,4,3,3,3,4,1,2,4,1,2,2,1
Entrevistado 15,Atividade turística,2,1,2,3,2,2,4,2,4,2,3,4,4,3,3,4,1,4,2,2,4,4,1
Entrevistado 16,Pesquisa científica,3,1,2,3,4,2,4,2,4,2,3,4,4,3,2,4,1,4,4,3,4,4,1
Entrevistado 17,Gestão pública,3,1,2,3,2,2,4,2,4,3,3,4,4,3,2,3,2,4,4,2,2,4,2
Entrevistado 18,Atividade pesqueira,3,1,2,3,4,2,1,2,4,2,3,4,3,3,3,2,2,4,4,2,2,4,1